id,user_id,item_id,bid_amount,date_added
1,2,26,42,2020-10-28 15:31:10.399027
2,1,26,50,2020-10-28 15:43:36.322917
3,1,26,55,2020-10-28 16:05:57.724701
4,1,25,25,2020-10-28 16:12:56.523009
5,1,26,70,2020-10-28 16:20:35.347833
6,3,26,80,2020-10-28 16:33:27.982803
7,3,2,89,2020-10-31 16:32:39.745511
8,3,3,93,2020-10-31 16:33:52.811846
9,3,3,98,2020-10-31 16:34:01.435136
10,3,25,32,2020-10-31 16:43:31.785949
11,3,24,33,2020-10-31 17:50:11.518948
12,3,24,34,2020-10-31 17:51:00.477953
13,3,24,44,2020-10-31 17:53:09.101805
14,3,24,45,2020-10-31 17:53:30.641337
15,3,25,43,2020-10-31 17:55:32.067136
16,3,26,83,2020-10-31 17:56:21.742082
17,3,26,90,2020-10-31 17:57:29.621617
18,3,26,95,2020-10-31 18:07:19.617800
19,3,25,49,2020-11-01 09:35:21.810093
20,3,25,56,2020-11-01 09:37:54.404974
21,3,25,57,2020-11-01 09:38:10.227644
22,3,25,58,2020-11-01 09:38:14.205164
23,3,25,64,2020-11-01 09:38:18.076684
24,3,25,68,2020-11-01 09:38:22.860155
25,3,25,77,2020-11-01 09:38:28.384130
26,3,25,78,2020-11-01 09:38:33.618328
27,3,25,81,2020-11-01 09:48:37.353222
